source_file,sheet_name,model,operator_no,station_no,cart,bin_location,step_no,component_part,quantity,process_route,width,depth,height,volume,storage,bin_model,bin_capacity,batch_size,days_of_stock,required_bins,assembled_using,tool_used
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C12-B2-PB12,,10,H MECH-02436-01,4.0,BUY,4.0,4.0,0.5,8.0,Bin,2,1348.0,400.0,4.0,0.29673590504451036,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-08774-01;A0,,,,,1,A MECH-01883-01,2.0,BUY,2.0,2.0,0.5,2.0,Bin,1,835.0,200.0,4.0,0.23952095808383234,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-08774-01;A0,,,,,1,A MECH-02488-04A1,2.0,BUY,2.0,2.0,0.5,2.0,Bin,1,835.0,200.0,4.0,0.23952095808383234,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-04138-02,,,,,1,MECH-01827-01;B0,2.0,BUY,0.5,0.5,0.5,0.125,Bin,1,13360.0,200.0,4.0,0.014970059880239521,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-04138-02,,,,,1,A MECH-01820-02,2.0,,5.0,3.0,0.5,7.5,Bin,1,200.0,2.0,0.04,0.01,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-05275-01;A0,1.0,1.0,C3-B2-PB3-WS#1,,1,MTL-03976-01;B0,6.0,,21.0,5.8,0.4,48.72,Bin,2,222.0,448.0,2.986666666666667,2.018018018018018,Place on fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-05275-01;A0,1.0,1.0,C4-B2-PB4-WS#1,,2,MTL-03977-01;A0,6.0,,20.6,2.5,0.2,10.3,Bin,2,1047.0,600.0,4.0,0.5730659025787965,Place on fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-05275-01;A0,1.0,1.0,C1-B1-PB1-WS#1,,3 4 5 6,B MTL-03978-01;C0,12.0,,10.0,0.2,0.2,0.4,Bin,1,4175.0,1200.0,4.0,0.2874251497005988,Insert into assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C36-B1-PB36,,1,A PCA-01083-05;A0,1.0,BUY,6.0,8.0,0.5,24.0,Bin,1,70.0,46.0,1.84,0.6571428571428571,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C36-B1-PB36,,1,A PCA-01084-02;A0,1.0,BUY,8.0,2.5,0.5,10.0,Bin,1,167.0,100.0,4.0,0.5988023952095808,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C36-B1-PB36,,1,A PCA-01086-03;A0,2.0,BUY,8.0,2.5,0.5,10.0,Bin,1,167.0,100.0,2.0,0.5988023952095808,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C36-B1-PB36,,1,A LBL-00849-02,1.0,BUY,0.5,15.0,0.1,0.75,Bin,1,2227.0,100.0,4.0,0.0449034575662326,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C37-B1-PB37,,5,ASY-03183-03;A0,1.0,,15.0,1.0,0.5,7.5,Bin,1,223.0,100.0,4.0,0.4484304932735426,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C36-B1-PB36,,6,A PCA-01305-03,2.0,,2.0,1.0,0.1,0.2,Bin,1,8350.0,200.0,4.0,0.023952095808383235,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C37-B1-PB37,,10,MTL-05286-01;A0,1.0,,3.5,0.5,1.5,2.625,Bin,1,637.0,100.0,4.0,0.15698587127158556,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C36-B1-PB36,,17,A MECH-03518-01,1.0,,5.0,4.0,0.1,2.0,Bin,1,835.0,100.0,4.0,0.11976047904191617,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C38-B2-PB38,,20,ASY-03138-03;A0,1.0,,17.3,4.3,0.6,44.634,Bin,2,242.0,100.0,4.0,0.4132231404958678,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C37-B1-PB37,,22,A MECH-01253-01,1.0,,4.0,0.5,0.1,0.2,Bin,1,8350.0,100.0,4.0,0.011976047904191617,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C37-B1-PB37,,22,ASY-03333-04;A0,1.0,,4.4,1.5,0.5,3.3000000000000003,Bin,1,507.0,100.0,4.0,0.19723865877712032,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C37-B1-PB37,,24,A LBL-00890-02,2.0,,3.0,3.0,0.1,0.9,Bin,1,1856.0,200.0,4.0,0.10775862068965517,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C37-B1-PB37,,24,ASY-03327-02;A0,2.0,,4.0,2.1,0.8,6.720000000000001,Bin,1,249.0,163.0,3.26,0.6546184738955824,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,,,26,A ASY-03230-06;A0,1.0,,,,,0.0,,,,,0.0,,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,,,26,ASY-03330-03;A0,2.0,,,,,0.0,,,,,0.0,,,
Material Northface.xlsx,Plan for every part,ASY-03727-27;A0,7.0,11.0,C39-B1-PB39,,27,A CBL-00407-05;D0,1.0,BUY,10.0,0.2,0.2,0.4,Bin,1,4175.0,100.0,4.0,0.023952095808383235,,
